,2025,2030
1.Population_Grid,143856406.8385048,250591709.99036598
1.Population_SA_Diesel,0,0
1.Population_SA_PV,0,8259673.326942444
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,5208815.55239296
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,7331.126635551453
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,38083906.88997571,106735303.15186119
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,0,8259673.326942444
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,5208815.55239296
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,7331.126635551453
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,1137067.5541924026,3186785.705875498
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,0,840146.1109992546
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,586861.629559909
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,387.0803904495382
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,5001018860.51062,19445440289.105663
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,0,3755453116.1665373
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,2351040265.9654613
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,2596078.2730909265
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,8.00083065032959,8.332050323486326
Max_cluster_pop_2030,2207544.0,2680242.0
Min_cluster_area,0.008999999612569809,0.008999999612569809
Max_cluster_area,189.98199462890625,189.98199462890625
Min_existing_grid_dist,0.0,0.0
Max_existing_grid_dist,131.0,131.0
Min_road_dist,0.0,0.0
Max_road_dist,67.64299774169922,67.64299774169922
Min_investment_capita_cost,82.83613928001104,82.83613928001097
Max_investment_capita_cost,677.1044265645033,686.4395059515649
